Time (s), Voltage (V), Current (A), SOC (%)
167, 3.20, 0.20, 1.14, 
168, 3.20, 0.20, 1.14, 
169, 3.20, 0.20, 1.15, 
170, 3.20, 0.20, 1.16, 
171, 3.20, 0.20, 1.16, 
172, 3.20, 0.20, 1.17, 
173, 3.21, 0.20, 1.18, 
174, 3.20, 0.20, 1.18, 
175, 3.21, 0.20, 1.19, 
176, 3.21, 0.20, 1.20, 
177, 3.21, 0.20, 1.21, 
178, 3.21, 0.20, 1.21, 
179, 3.21, 0.20, 1.22, 
180, 3.21, 0.20, 1.23, 
181, 3.22, 0.20, 1.23, 
182, 3.22, 0.20, 1.24, 
183, 3.22, 0.20, 1.25, 
184, 3.22, 0.20, 1.25, 
185, 3.22, 0.20, 1.26, 
186, 3.22, 0.20, 1.27, 
187, 3.22, 0.20, 1.27, 
188, 3.22, 0.20, 1.28, 
189, 3.22, 0.20, 1.29, 
190, 3.22, 0.20, 1.29, 
191, 3.22, 0.20, 1.30, 
192, 3.22, 0.20, 1.31, 
193, 3.22, 0.20, 1.31, 
194, 3.22, 0.20, 1.32, 
195, 3.22, 0.20, 1.33, 
196, 3.22, 0.20, 1.33, 
197, 3.22, 0.20, 1.34, 
198, 3.22, 0.20, 1.35, 
199, 3.22, 0.20, 1.36, 
200, 3.23, 0.20, 1.36, 
201, 3.23, 0.20, 1.37, 
202, 3.23, 0.20, 1.38, 
203, 3.23, 0.20, 1.38, 
204, 3.23, 0.20, 1.39, 
205, 3.23, 0.20, 1.40, 
206, 3.23, 0.20, 1.40, 
207, 3.23, 0.20, 1.41, 
208, 3.23, 0.20, 1.42, 
209, 3.24, 0.20, 1.42, 
210, 3.24, 0.20, 1.43, 
211, 3.24, 0.20, 1.44, 
212, 3.23, 0.20, 1.44, 
213, 3.24, 0.20, 1.45, 
214, 3.24, 0.20, 1.46, 
215, 3.24, 0.20, 1.46, 
216, 3.24, 0.20, 1.47, 
217, 3.24, 0.20, 1.48, 
218, 3.24, 0.20, 1.48, 
219, 3.24, 0.20, 1.49, 
220, 3.24, 0.20, 1.50, 
221, 3.24, 0.20, 1.50, 
222, 3.24, 0.20, 1.51, 
223, 3.24, 0.20, 1.52, 
224, 3.24, 0.20, 1.53, 
225, 3.24, 0.20, 1.53, 
226, 3.24, 0.20, 1.54, 
227, 3.24, 0.20, 1.55, 
228, 3.24, 0.20, 1.55, 
229, 3.24, 0.20, 1.56, 
230, 3.24, 0.20, 1.57, 
