Time (s), Voltage (V), Current (A), SOC (%)
168, 3.21, 0.64, 4.41, 
169, 3.21, 0.64, 4.43, 
170, 3.21, 0.64, 4.46, 
171, 3.21, 0.64, 4.48, 
172, 3.21, 0.64, 4.50, 
173, 3.22, 0.64, 4.52, 
174, 3.22, 0.64, 4.55, 
175, 3.22, 0.64, 4.57, 
176, 3.22, 0.64, 4.59, 
177, 3.22, 0.64, 4.61, 
178, 3.22, 0.64, 4.64, 
179, 3.22, 0.64, 4.66, 
180, 3.22, 0.64, 4.68, 
181, 3.23, 0.64, 4.70, 
182, 3.23, 0.63, 4.72, 
183, 3.23, 0.63, 4.75, 
184, 3.22, 0.63, 4.77, 
185, 3.23, 0.63, 4.79, 
186, 3.23, 0.63, 4.81, 
187, 3.23, 0.63, 4.83, 
188, 3.23, 0.63, 4.86, 
189, 3.23, 0.63, 4.88, 
190, 3.24, 0.63, 4.90, 
191, 3.24, 0.63, 4.92, 
192, 3.23, 0.63, 4.94, 
193, 3.24, 0.63, 4.96, 
194, 3.24, 0.63, 4.99, 
195, 3.23, 0.63, 5.01, 
196, 3.24, 0.62, 5.03, 
197, 3.24, 0.62, 5.05, 
198, 3.24, 0.62, 5.07, 
199, 3.25, 0.62, 5.09, 
200, 3.25, 0.62, 5.12, 
201, 3.25, 0.62, 5.14, 
202, 3.25, 0.62, 5.16, 
203, 3.25, 0.62, 5.18, 
204, 3.25, 0.62, 5.20, 
205, 3.25, 0.62, 5.22, 
206, 3.25, 0.62, 5.25, 
207, 3.25, 0.62, 5.27, 
208, 3.25, 0.62, 5.29, 
209, 3.25, 0.62, 5.31, 
210, 3.26, 0.62, 5.33, 
211, 3.25, 0.62, 5.35, 
212, 3.26, 0.62, 5.37, 
213, 3.26, 0.62, 5.40, 
214, 3.26, 0.62, 5.42, 
215, 3.26, 0.61, 5.44, 
216, 3.26, 0.61, 5.46, 
217, 3.26, 0.61, 5.48, 
218, 3.26, 0.61, 5.50, 
219, 3.26, 0.61, 5.52, 
220, 3.26, 0.61, 5.55, 
221, 3.26, 0.61, 5.57, 
222, 3.26, 0.61, 5.59, 
223, 3.27, 0.61, 5.61, 
224, 3.26, 0.61, 5.63, 
225, 3.27, 0.61, 5.65, 
226, 3.27, 0.61, 5.67, 
227, 3.26, 0.61, 5.69, 
228, 3.27, 0.61, 5.72, 
229, 3.27, 0.61, 5.74, 
230, 3.27, 0.61, 5.76, 
231, 3.27, 0.61, 5.78, 
232, 3.27, 0.61, 5.80, 
233, 3.27, 0.61, 5.82, 
234, 3.27, 0.60, 5.84, 
235, 3.27, 0.61, 5.86, 
236, 3.27, 0.60, 5.88, 
237, 3.28, 0.60, 5.90, 
238, 3.28, 0.60, 5.93, 
239, 3.27, 0.60, 5.95, 
240, 3.28, 0.60, 5.97, 
241, 3.27, 0.60, 5.99, 
242, 3.28, 0.61, 6.01, 
243, 3.27, 0.60, 6.03, 
244, 3.28, 0.60, 6.05, 
245, 3.28, 0.60, 6.07, 
246, 3.28, 0.60, 6.09, 
247, 3.28, 0.60, 6.11, 
248, 3.28, 0.60, 6.14, 
249, 3.28, 0.60, 6.16, 
250, 3.28, 0.60, 6.18, 
251, 3.28, 0.60, 6.20, 
252, 3.28, 0.60, 6.22, 
253, 3.28, 0.60, 6.24, 
254, 3.28, 0.60, 6.26, 
